,address,amount0_in,amount1_in,amount0_out,amount1_out,sender,to_address,transaction_hash,timestamp
446,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3800000000,3801602391,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7f6bbe69955694059e47faf6c8cd46b3eeedcd76,0x07fc0e6548518c32b6d2162899687979a51d92be963160f3f6bebc24914ad04c,2023-03-18 12:58:00
447,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,1300000000,1302382199,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcb6450c34fee7eb09766e6d33556755fbd6526ab,0xa2ab2f5d55f341415da86b751bf1179d62ab4abd9762ecf37d4b318fe273c4fe,2023-03-18 12:57:00
448,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,999500000,1002246335,0,0x4a5a7331da84d3834c030a9b8d4f3d687a3b788b,0x4a5a7331da84d3834c030a9b8d4f3d687a3b788b,0x27bc0c0d6af222bf32711f7e020ca67dfa921529ce007a27149256d2837c85b0,2023-03-18 12:53:00
449,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,500000000,501165660,0,0x555b6ee8fab3dfdbcca9121721c435fd4c7a1fd1,0x20e95253e54490d8d30ea41574b24f741ee70201,0x9cda51dcaaa71533dffbebfb0c567b9684aa7482de358d9a48124594a48a4520,2023-03-18 12:53:00
450,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,172882633,173413884,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe59fd78557093a0beb569369ef8f47bc48a32c75,0x135780490272d5d6352cf0c4b87bc59d0d5dfae3dce60a12615b7dad3bb9ab33,2023-03-18 12:52:00
451,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4341885036,0,0,4312573674,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x785de8a0341989225099f53b98e07028c88b0664,0x3f27c6737788844bafb4d2030d01ef72cfdd484bd6b8df78fd3ba684afad0568,2023-03-18 12:50:00
452,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1532988845,0,0,1525102642,0x1111111254eeb25477b68fb85ed929f73a960582,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xa45b2745768bff02615f5981ef262c2c42844c7fd2ce17b8e8d7c063701e645f,2023-03-18 12:50:00
453,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2096736702,0,0,2078892454,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdbc3ff37ac68f4068471323d49bebe415ee607d5,0x24197f14dad7f45f818d750d4b763e4262360fbebaa0e60728b04c3c8d110eb5,2023-03-18 12:50:00
454,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2844293829,0,0,2835722639,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe3922766d6d63f426899058869a0492c375b032d,0x377e69a92e8e71604bc86685628a54a98b7018fbe682c1eaac56026450bbf54e,2023-03-18 12:49:00
455,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1697409632,0,0,1690179946,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x00edd963286bd52fd51b7bc482910b9cf9a8c809,0xeed5b001d52075ee17d2d87121b5f7ba3a6e8234b322b3dc99ea3c95907e62a9,2023-03-18 12:49:00
