,address,tick_lower,tick_upper,amount,amount0,amount1,owner,sender,transaction_hash,block_number,timestamp
348,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-9,5,17947939953548,9000000000,3561687195,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xef5dedaf0649b4dd53b5cd56753cf00514aaabee69a9a8f966623a355f2675d7,16800293,2023-03-10 21:07:00
349,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-4,2,301468769411871,90440631125,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xed3b91cf19d73cc7a42440a271539436751b2f7ae6d8f6191b4d0cc6e3f8e6a4,16800281,2023-03-10 21:05:00
350,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-6,-4,105313361321061591,4593839060980,5936375635795,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf415f7dfa921bcaeb42f5a37198241d022124f8289527c0005ac071f3a5ff762,16800269,2023-03-10 21:02:00
351,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-4,0,71393421419788,10028187359,4249763807,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x2a731e379fdc313a8b9fd834cd9a14dececb71db78daef30d0c12c5db5d2125f,16800173,2023-03-10 20:43:00
352,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-5,-1,2638368300702610,159377765610,368215938089,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc88198bacf0a6d5038b14fc21762f97faa87a49a58af023bb72f60bf43e3ccef,16799955,2023-03-10 19:59:00
353,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,0,6035931348130000,603593134813,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x38564ed6e51225127bf9a5339a5b44a4a9e7322e96ed99b63c69a17ec31c7d91,16799933,2023-03-10 19:55:00
354,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,-2,1660309306281103,0,83000939579,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x90f1899ddd524c62784a9914f0fe4c2feef522a71b6734e53590abed053f5ac7,16799890,2023-03-10 19:46:00
355,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,-2,5101536124595225,0,255032173846,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe95560ceee3062a14dc0a360980d06d97f4853abc7187634ecf40073d9f90b18,16799886,2023-03-10 19:45:00
356,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,-1,107360544774314428,5135508827537,5599694547045,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xaa50aff4103fe070d2fd8c865f60a7d9400b5379f63d955a6ac817ae40a9bfdd,16799819,2023-03-10 19:32:00
357,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,-1,58615922720594663,2649400000000,281414468030,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6a4c4fdd155f053ab706155ed8ee714f33a18aec9e91bee91c8f88d198dc02f2,16799531,2023-03-10 18:34:00
358,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-1,0,58582435040658120,691300000000,2237610243773,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd0716d4143a39b8d8d8e88f1ef569d346b6d32a9b063a4ab2f04c51161ac39d4,16799014,2023-03-10 16:48:00
359,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-1,0,6513123770673306,78203803693,247428901653,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x634237b0b2b365e7fd9fc8c33a675568f984d2d1230d9368fc4f194b6a9fac6a,16798997,2023-03-10 16:45:00
360,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-4,0,3086497733244540,34050567247,583156772460,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0e8142da57edbd2caf37c05f42abdf2f82de33979ce7f97a45d78c6c01cfaeb7,16798982,2023-03-10 16:42:00
361,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-1,1,108708581620602857,6146930830564,4723116747184,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb2bd07887f07aea01f321af9ae3a66a154761ae63acc6efe003ed26fc64bbc05,16798802,2023-03-10 16:05:00
362,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,95266285267153546,1751823189949,3011229032179,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x87994fa30e4139d8b7ab3f1e39821d33f319e0d80d3e3b0a77481ee2ce174a4a,16798132,2023-03-10 13:50:00
363,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,6690487604222460,64645499558,269864678124,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc937c6ed2d97a3c53ad251c2f6d8a574d7b4c486c8e8ea8574cad69d96dc26b3,16797191,2023-03-10 10:38:00
364,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,58516290102410034,534000000000,2391692837206,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6cfb53a08a5078500a5f34a8b6d11e0b65c13aa90762b5161eb3961e990e6d41,16797168,2023-03-10 10:34:00
365,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,1,2658981718968641,21056170822,510685060468,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a459c7eb1631fdd339d479d37572fa897a4c4e39204ca53d212b1412d93184c,16797043,2023-03-10 10:08:00
366,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,1,2119616139908127,15706179233,408173206975,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xadfb9d557c2599d1f2cb6acda5124111114f446d7b912d30397e350e9a1b4916,16797000,2023-03-10 09:59:00
367,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,2,108721413696942469,5463710372596,5407612843494,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x446bfac8c6442000d88aee6af788197f75e13352fb7e3d37c46fc93e7aca3894,16796672,2023-03-10 08:51:00
368,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,2,1515296321069354,73492723122,78025775041,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6da2e7a02dd598ca94c252d2db734b55dcee2c2525ca6fb852d92bb33db7dd21,16796365,2023-03-10 07:49:00
369,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,2,123772045702280,5998862132,6377433426,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6fb78eed353784d7387a454fe39fb60e0a18cfde45614b6550972ce83163677a,16796100,2023-03-10 06:55:00
370,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,256343111917389,0,12816835183,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x67716b08ca0eee651d16e05bd7ee9652c8f95fe13c0fb21c48e83553d86860bf,16796055,2023-03-10 06:46:00
371,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,743189065319011212,36784611786274,370234263043,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6e58db25f9c0173c0da738f4e3f4f014919a3c4a51db1aef7268cf2518570727,16796027,2023-03-10 06:40:00
372,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,12,92664117503924,50899999997,13944737707,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0c01eddbf5f56f1639bd051a927bd284202949a1d95bf31c972599ddad19805f,16796021,2023-03-10 06:39:00
373,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,2,252342124285232,12489832685,12742500000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe4af583586dd5df976de51428aefe4bec57d40baec909396111d3e0b32e9a663,16796024,2023-03-10 06:39:00
374,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,242818605997833526,9488295415110,2651411496977,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xeda96afd3116965ff816ab18f4b8b7356f58ba86380e4ce33e61b96df0a3102b,16795653,2023-03-10 05:23:00
375,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,2,6035301319378926,176343598790,427156416589,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe2c8d614849b5db96de21f4ec5796a1a1c571568da0e0ff10d90bb1451158633,16794357,2023-03-10 00:59:00
376,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,218013417407628692,6360791711717,4539065073525,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb93391086441f1be969fc1f2167056cde211ba4c0723094ba0dcf122afa6c03a,16794347,2023-03-10 00:57:00
377,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,3,10913746952067,773783129,2499999998,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0da37fff4cbb538ca730f90b4141ea40ebc97041adc52b89606245c720ac8326,16794000,2023-03-09 23:47:00
378,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-3,3,115755253548458,8263631615,26459319184,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x796fa3297d7f05aeab6be836b3a2d1df13d884aad9a034a7199f8abd42728638,16793975,2023-03-09 23:42:00
379,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,3,1494495104171,72743931,76694769,0x981c8319a55bd32974cb7976c540308d604933f7,0x981c8319a55bd32974cb7976c540308d604933f7,0xee4ddfb73928331c159934722ea2d5f9f5bda8992db9a220ffe53d0762440e88,16793056,2023-03-09 20:36:00
380,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,3,282021436350245,13700435892,14499673100,0x981c8319a55bd32974cb7976c540308d604933f7,0x981c8319a55bd32974cb7976c540308d604933f7,0xee4ddfb73928331c159934722ea2d5f9f5bda8992db9a220ffe53d0762440e88,16793056,2023-03-09 20:36:00
381,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,3,10826665879986422,637343210299,445223821333,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x510ee7db14b03496f4506d5a8cf011a30a776a8538dbe2dca3be77b8265138f9,16792250,2023-03-09 17:52:00
382,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,4093070231379766,0,204648395487,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x394d5806a2fcc3ec8f4a6cc4694681d6e3b1b377099fff811aee8c83e0d7af1d,16791890,2023-03-09 16:38:00
383,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-99,102,60073362583,300000456,302192634,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7ff3fe49700bf819a279e87ef66257b812078863b22a1c51823d6dace56af306,16791800,2023-03-09 16:20:00
384,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,3,98229593535315644,5831658220133,3990388943656,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x26e1ebe9cddcb2850929f198405fccc93ca406a3ae7f4ddb838761c902330c77,16791732,2023-03-09 16:07:00
385,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,6731147682715838,28387281003,308172958660,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x71119c3214d78165364d75879af58a4dcc3800df37e4d65249da7dc6c483e444,16791401,2023-03-09 15:00:00
386,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,3,3517566955481608,185792892345,341809415407,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb098c6757563f54d331e743fc43704420743315966da42859bc90ae7cc8c09a2,16791203,2023-03-09 14:20:00
387,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,12,81840359519824,41270997979,16000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3ea23a50b889944718ff4c1d350967092c21197af067488b677b34355f698b09,16791155,2023-03-09 14:10:00
388,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,13390537353288051,423359425643,246112891895,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x38c64261ad34f4662ad58ee209e63375e4ccf7ced00df1c43deda7aa921784f5,16791013,2023-03-09 13:42:00
389,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,31237285745038857,1005079000000,556655653757,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9ffa1318451257961b411b3f01a4fa270dfe9ce3e5ebf7d32481d975633eb126,16791003,2023-03-09 13:40:00
390,0x3416cf6c708da44db2624d63ea0aaef7113527c6,1,2,28467723649571010,907699552325,515569614000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x57f75141c8f2030e0cbddc8bf8b88b19fb8a8a5388851e9286b0adb2871e6e85,16790976,2023-03-09 13:34:00
391,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,0,2182629383574246,0,218241114246,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6a8a2120390928fe1e78ceed48a184beeec123d98fb553167c12fe694440d32b,16790701,2023-03-09 12:38:00
392,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,0,6300630000000000,0,630000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x91e5735343a3c7bad586f52fd111370373203ec812a63fc2a7dc29e91ac1cfa0,16790340,2023-03-09 11:25:00
393,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,0,700070000000000,0,70000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7622040a452674a044eeb31b46df65df868e6632191f0650521aa95b8bb49c15,16790324,2023-03-09 11:21:00
394,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-887272,887272,2999896,2999794,2999999,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbd57c7e389f5067de33e7200ccce2a4dfc8bb3d408ca73d01a5147214a7d5cab,16790174,2023-03-09 10:51:00
395,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,59691010399781792,949000000000,2035396099696,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43544027e8e71e732d5e4db2812f56ed8523bdc72bc12242a784944a593c15ca,16790170,2023-03-09 10:50:00
396,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,2977818239261868,72403109961,76478600246,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xadaed856cfa6dec5c7a9359b0e3a079f48be92af3982bb9e872e4304962b8f60,16789527,2023-03-09 08:41:00
397,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,3,13669525788374,1723774512,1693221774,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xdce3b6453020b0d81ff03a7e40a46774fc297d928330fba8ffc31e4258823ca0,16789064,2023-03-09 07:08:00
398,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,1,49712147040097129,1392137344319,1093307647000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5a3b08ede417bc30b0302168ae436cd84d3a82c557d5cecbf2e39014ee12945a,16788819,2023-03-09 06:18:00
399,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,1,253093975044655,6949745103,31010999999,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x941c6a34009dfbf43cecb20251fe8255f20c0aa87509288930d6a4eb9c3d9a2b,16788048,2023-03-09 03:42:00
400,0x3416cf6c708da44db2624d63ea0aaef7113527c6,23027,29958,107977567,10000000,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3de9b0fdec57a903ad978d7bd5306bb14912b778dd36c555ebb4a8f3c8205c31,16787891,2023-03-09 03:10:00
401,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2,1,4726870624681373,120482792855,588485651653,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa3068f925c0fd987ce18cc25c1e8da489f8b654d2e735a2097232f217c418ed8,16787161,2023-03-09 00:42:00
