,address,tick_lower,tick_upper,amount,amount0,amount1,owner,transaction_hash,block_number,timestamp
110,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-71,22,145611444246947,302920409033,373274534329,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x349b4d572bb8d2d452c7b1060078bdf35330a6bda46d12e9d5de8607666ce4bc,16847925,2023-03-17 13:48:00
111,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-72,18,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7ecec53db33d44915d3bd66d57164eaa45aef01f0ac7033a988ee9eae0db26b2,16847887,2023-03-17 13:40:00
112,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-28,-23,8985188326935566,0,2243322862574,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x920f2f50e7bfe9fbb887ead930383a747dd7ef476351b53147f77a76c3c43060,16847884,2023-03-17 13:39:00
113,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-30,-29,119939649478826907,930037647976,5060507100232,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xec91bf6f3f68b340fe55ff618bc54353041f2308c4d622f27d602ec7ea8be862,16847685,2023-03-17 12:59:00
114,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-27,-26,91703378983760856,368156871946,4211669504817,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xaddffe9297344dbfdfd7229cd430bc2817846340c323aeb398ec44a58a368eb1,16847570,2023-03-17 12:36:00
115,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-27,-26,112629517437868811,247807872780,5376574400283,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9a922bf89a812fb510079f15960bc660555a77c757c0091855ca68beb44ff1fa,16847493,2023-03-17 12:20:00
116,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-488,-20,43165601216,10304990,987019799,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf333f3a5a3af8676910a866f7d236a799d4e136ed80ee1b92113e219f99ca473,16847170,2023-03-17 11:14:00
117,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-23,-22,673046105094594841,33302193246557,385418649636,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x35cee3f741cbf8c1e9cc7a1469c344af8037bdd7bf811e7dee8c5f310b1f417e,16847084,2023-03-17 10:57:00
118,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-9,5,28483349729172,19939342101,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x110df3087247a653196c763bde331f1b0c2da1b90c171d7bfb6d1b1e00f6997c,16846885,2023-03-17 10:17:00
119,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-27,-26,114488902409521953,188141907323,5528926718394,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0e21201a2241698006b82a10cba2c2e5e8c804d37f8dbd85462e6a5d6adff92f,16845910,2023-03-17 06:59:00
120,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-19,-10,836850843113269,376837148958,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa40ddf0a5b4f6fb827d4761f26210d02b0e3aadfc8cf54853380d0af34a73ecd,16845710,2023-03-17 06:19:00
121,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-26,-23,948959538882189,142511274953,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x55930d0995e6554962507b451fbd51d5c0023435111466ea52de79cfee3bfa48,16845651,2023-03-17 06:07:00
122,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-20,-10,986551033832890,493620918319,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x301598f057a305e171d325f42a1f05b4eed1ee8a7411255c3b181f0825b3c316,16845584,2023-03-17 05:54:00
123,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-20,-8,1816755890300208,1090762279758,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x33416e236c2bafdb421f566bd4f12d137a4854deb695520b8c2d3ccb6a7287cd,16845552,2023-03-17 05:47:00
124,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-43,0,243334253210045,317354109597,205639781820,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xda54368a0aeacbd9ad8dc2c264d99f55a4b657328107a831f9459ba4d612f886,16844789,2023-03-17 03:13:00
