,address,amount0,amount1,sender,transaction_hash,timestamp
468,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,251000000,249059755,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2822b1253a77dbd1ec2b4c8ce91d0cdc724b661c85effb72890325179b983dd7,2023-03-15 13:18:00
469,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1950000000,1942866857,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x9bdd2d738acf57d99feaeeb9a5a9ebfb9e928dbae46a6a215561f5e9364879f0,2023-03-15 12:35:00
470,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2305000000,2296912194,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2fed085551f078d407cd2731b29d82f3b2ec7bc32c9176310ccf9de2dc4c1fe8,2023-03-15 12:34:00
471,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,802000000,799185934,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x378c0f194aea5a7343fbde88401fb88ab7238de0cb5eb3b2f68b72b3bcc5972a,2023-03-15 12:33:00
472,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2751999999,2743144426,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xba77d03f96b7d2dfc0fb69e3c4f4f797cb5344186a86d04dad01d25a8acbcfaf,2023-03-15 12:32:00
473,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,801000000,797055064,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfd254a7d9a656214baaf4d965506e5068462e71d178a2f6df53b7b276ba89369,2023-03-15 12:31:00
474,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4652999999,4633849504,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x655455ab792748b5156623b9edf0e44a36395250e752b1dd60f4c61bc152e060,2023-03-15 12:30:00
475,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1949999999,1940396222,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4ef3193d1f257a148696816f1e3cff170d2c4f2b84db51fcc52bd1ff6e5822bd,2023-03-15 12:30:00
476,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,850999999,847497513,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xebea3eb6d92b7469ecb778c4105acb79886fa043070f2172cbee2a6dd543cb7b,2023-03-15 12:29:00
477,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,400000000,398353708,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x138d9c61400bfc615c29e2e0beffbf282143d15c98775d718fb11df585b9799d,2023-03-15 12:29:00
478,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2292999999,2283562629,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x99d7b01d1f02eeceb37ee0f00c1133fc4d9381c14b03e0555e8e1d9dd4572232,2023-03-15 12:28:00
479,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,499000000,498162186,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5a9d60d728b67e43aa920db7de6b4a9bde8d48c19eb9e3e0a3bf4b46bdb17eb5,2023-03-15 11:41:00
480,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4048999999,4042201784,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf1cbe2e8f0745c403e8e8f5050f4ab866dcdb6cbb1b36bbd7c4bffa7c4f911f2,2023-03-15 11:41:00
481,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4443000000,4434156884,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xac2118281333b21b3710f5bc5575644369207ba58365fafe6d4cab8991e05bae,2023-03-15 11:40:00
482,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3250000000,3243531369,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x26a1b44790c270f70c6e0a546742986d8603e5c288a71cf780c322d1f6d9010e,2023-03-15 11:39:00
483,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2749999999,2738950831,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xeb7d9d195e950f107583d10db975bc395c0a6178f9a13bc3b82fb5eeb61c2251,2023-03-15 11:38:00
484,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4409999999,4392379263,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8d93caafa7e00a1cfb81239847581e11ddca2ade20fbcc9c9569d727893f0bd3,2023-03-15 11:37:00
485,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1505000000,1496048780,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x55d6890859c7e705b0546a8dca1936916671eb41b32aa0188546b48eff5503cc,2023-03-15 11:36:00
486,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1803999999,1791580590,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7d613f4d4ab4855660a8ff6a9b62d6d479d3931f3f55a2f3676b1cc1556172ee,2023-03-15 11:35:00
487,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4497000000,4469725519,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x55391413f790eb79068dbd5d50f2e80072a1b0ae70cee5979bffec82cccc3607,2023-03-15 11:34:00
488,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,649000000,646486152,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfa1a078e929e933135ae808f73de5d182d71640a1b1e266a2d602f8965b4345e,2023-03-15 11:33:00
489,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3894999999,3887292531,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc66da2865cddc88ca4e134df75a4ee21f4d67a3d9f783c08ea1363ff755e88cc,2023-03-15 11:32:00
490,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2498000000,2493056930,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4f0d661d969cf8aab70286f930aafdee1cfc4c86ffa87406054fff267db2a39d,2023-03-15 11:31:00
491,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2752000000,2743264979,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x56a621e5f31d4ee46cce59b01c71d62cfa735cd986a9359fbbbbcd819345352a,2023-03-15 11:30:00
492,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4910000000,4892226122,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe0e5b4f6b1d759c947dcb7a68f1c67a4193b1b467ef7d90f7e1addfd2fcb1b64,2023-03-15 11:29:00
493,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3651999999,3638779999,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xde600ffd88fae947c35a7835e8bea2892bfebc11c46b92c46fd8e3e17dc9eb96,2023-03-15 11:29:00
494,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,602000000,597968254,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5d9873fc4bbe0342e81e8a332824f59b26e6cdc219d39f45cabc70af8899bd7a,2023-03-15 11:27:00
495,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2548000000,2542649840,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaae370c50f3ab608e679c75aa44e3295ba4f98b740f827be3998fef952278cfa,2023-03-15 10:33:00
496,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3650000000,3642335917,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3df54d0688603161dfd1636f42a736bedfd50482b71e5a6bc5407b84c2ba4cce,2023-03-15 10:32:00
497,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,599999999,597369430,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe18cdb1e898dd69d2603c7cae61727e7076361411491cc1a598d904b9cbef9ee,2023-03-15 10:31:00
498,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4965999999,4942363613,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa370b7fcb4dc55211e434a9bb85f2a370eb60f8cc6592dafc279a0b7d4083943,2023-03-15 10:30:00
499,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1104000000,1095324231,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8df9ffb1ea84eea5336d5dbc91df2155641a7fec269963fd7c772051dd9d529e,2023-03-15 10:30:00
500,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1505999999,1494812823,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0df8f8c326fdb3bc4d492153aa711ab13fe1d298260fb96966130738a3d1498e,2023-03-15 10:29:00
