,USDC_reserve,USDT_reserve,USDC_USDT_price,USDT_USDC_price,timestamp
241,3976638.737532,3959062.272385,1.0044395525853682,0.9955800699266163,2023-03-20 07:54:00
242,3976397.3934175,3959301.5113335,1.004317914988213,0.9957006719407252,2023-03-20 07:52:00
243,3976697.518217,3960198.223405,1.0041662800398445,0.995851005831744,2023-03-20 07:46:00
244,3976724.479191,3960171.293685,1.0041799165436092,0.9958374824324345,2023-03-20 07:42:00
245,3976814.586302,3960081.293685,1.00422549219979,0.9957922874567405,2023-03-20 07:38:00
246,3976835.2102125,3960060.6794295,1.0042359277832928,0.9957819397521512,2023-03-20 07:35:00
247,3975030.255369,3961853.638069,1.003326341472543,0.9966856209187156,2023-03-20 07:34:00
248,3972147.717203,3964719.152788,1.0018736672457054,0.9981298368177932,2023-03-20 07:33:00
249,3976957.068063,3969519.509377,1.0018736672457287,0.9981298368177701,2023-03-20 07:31:00
250,3976944.08702,3969532.2778995,1.001867174599611,0.9981363056064232,2023-03-20 07:28:00
251,3977055.966161,3969420.046422,1.0019236864956842,0.9980800069689814,2023-03-20 07:26:00
252,3976451.922885,3970021.212594,1.001619817614727,0.998382801951159,2023-03-20 07:25:00
253,3977055.610498,3970623.923924,1.001619817614871,0.9983828019510156,2023-03-20 07:22:00
254,3976855.670484,3970822.951751,1.0015192615753215,0.9984830430790399,2023-03-20 07:20:00
255,3976830.889234,3970847.621331,1.0015067986670803,0.9984954683591908,2023-03-20 07:17:00
256,3976948.547144,3970729.790434,1.0015661495589505,0.9984362994300076,2023-03-20 06:58:00
257,3976356.295561,3970124.9689760003,1.0015695542726495,0.9984329053789642,2023-03-20 06:50:00
258,3975439.1597415,3968596.7000145,1.0017241709075861,0.9982788194881815,2023-03-20 06:49:00
259,3975963.817876,3967622.62025,1.002102316279635,0.9979020941819194,2023-03-20 06:35:00
260,3976963.165761,3966622.62025,1.0026068891601159,0.9973998890409584,2023-03-20 06:19:00
